pair,d_mse,d_mse_lo,d_mse_hi,d_qlike,d_ql_lo,d_ql_hi
M0_const->M1_spread,1.5952444228464392e-13,1.8044440985903138e-14,4.728516412564056e-13,-0.17032176196765594,-0.3150689883721594,-0.038300278681921186
M1_spread->M4_full,-5.382996473634459e-14,-1.212980652254876e-13,-4.572940706077431e-15,-0.37792412515079965,-0.9728017867923947,-0.05415326497910885
M2_imb->M4_full,1.2637592251011917e-13,1.7959214391043298e-14,3.6441648444104916e-13,-0.5046895759342777,-1.1137755218600929,-0.11713101225410852
M1_spread->M3_additive,-2.329752539192351e-14,-7.38809299966221e-14,1.0226947573173879e-14,-69.75235032925482,-137.47928965642834,-15.862646995588245
M3_additive->M4_full,-3.053243934442108e-14,-9.622757584253386e-14,3.1116823355603438e-15,69.37442620410403,13.573594921894154,138.70429129553173
M0_const->M4_full,1.0569447754829931e-13,-3.849512897025473e-14,3.607787616223434e-13,-0.5482458871184557,-1.1393943457324942,-0.17465189687294538
