variable,N,mean,sd,min,p25,median,p75,max
Relative spread (bps),4032350,22.459400000958503,25.040093414508647,1.0000500024995709,7.291286912139837,15.048908954102032,29.06309751434054,1076.6864425401016
Imbalance,4032350,-0.04424322763597385,0.5615711742281213,-0.9999966386554622,-0.4731298549062429,0.0006682258603407952,0.3460060059433383,0.9999972761358173
$|$one-step return$|$ (bps),4030762,4.061799279669379,7.994664302720505,0.0,0.0,1.8805829862655887,4.157139947627842,856.8511684827618
